"","SR","WT","NDVI","DA","LandUse","Year"
"1",5.63553333333333,1910.31420553157,0.249925,94,"Pastoralist","2001"
"2",7.473,5643.95024340595,0.29005,0,"Pastoralist","2001"
"3",7.70213333333333,6396.6941220903,0.42365,96,"Pastoralist","2001"
"4",8.7556,2246.32444798916,0.4144,44,"Pastoralist","2001"
"5",7.21173333333333,4065.81983550371,0.372175,340,"Ranching and wildlife","2001"
"8",4.67933333333333,2961.86714043769,0.2439,191,"Pastoralist","2001"
"9",5.4178,4932.11991089598,0.2394,0,"Pastoralist","2001"
"10",7.26806666666667,4643.02230795503,0.2878,134,"Pastoralist","2001"
"11",7.08673333333333,8648.30609747132,0.40785,91,"Pastoralist","2001"
"12",7.4778,6757.81982227565,0.4022375,87,"Pastoralist","2001"
"13",7.79226666666667,3027.32275307541,0.37255,93,"Pastoralist","2001"
"14",8.47606666666667,4629.54736345835,0.32825,0,"Ranching and wildlife","2001"
"15",9.33393333333333,917.085947327378,0.277925,0,"Wildlife only","2001"
"17",6.70813333333333,6573.6170531956,0.2382,0,"Pastoralist","2001"
"18",6.83786666666667,9343.68887355516,0.23845,4,"Pastoralist","2001"
"19",7.89246666666667,4781.6455761532,0.2768,0,"Pastoralist","2001"
"20",9.39266666666667,2739.70323203253,0.35005,23,"Pastoralist","2001"
"23",6.60706666666667,8861.73465144797,0.3756,106,"Pastoralist","2001"
"25",7.44426666666667,4031.85433795826,0.28605,0,"Ranching and wildlife","2001"
"26",7.4168,66.9505735740588,0.253,63,"Wildlife only","2001"
"31",5.3894,6429.66300281072,0.2974,285,"Pastoralist","2001"
"32",7.84286666666667,3005.22758989121,0.3336125,20,"Pastoralist","2001"
"33",9.2664,4080.69336721052,0.391625,0,"Wildlife only","2001"
"34",9.38626666666667,2307.26362292303,0.39155,0,"Wildlife only","2001"
"35",8.74053333333333,3822.3239692406,0.382075,20,"Wildlife only","2001"
"36",6.00246666666667,7777.75458748739,0.2924,102,"Pastoralist","2001"
"37",4.88753333333333,3566.13023960522,0.294,307,"Pastoralist","2001"
"38",3.98073333333333,2374.63496518487,0.283225,498,"Pastoralist","2001"
"39",6.05726666666667,1121.97108218852,0.2216,162,"Pastoralist","2001"
"40",6.47606666666667,5178.87405238096,0.203475,0,"Pastoralist","2001"
"42",6.83313333333333,879.509800487513,0.236675,0,"Ranching and wildlife","2001"
"43",8.8268,5280.77220610698,0.25435,0,"Ranching and wildlife","2001"
"44",7.8522,2499.52813527406,0.281475,8,"Ranching and wildlife","2001"
"46",9.03353333333333,658.969441950384,0.409375,22,"Wildlife only","2001"
"47",9.3994,219.043845222025,0.429575,0,"Wildlife only","2001"
"48",9.28886666666667,1234.47931975078,0.383325,0,"Wildlife only","2001"
"50",4.40493333333333,6412.39345860097,0.3105,405,"Pastoralist","2001"
"51",4.736,1425.20378122346,0.2727,335,"Pastoralist","2001"
"52",4.71893333333333,2289.20909965291,0.2469,236,"Pastoralist","2001"
"53",4.47813333333333,3794.13272547388,0.235075,420,"Pastoralist","2001"
"55",4.7654,1794.23571170747,0.23665,160,"Ranching and wildlife","2001"
"56",6.7582,4947.24685601764,0.2747,0,"Ranching and wildlife","2001"
"57",7.29986666666667,5015.01167034914,0.2944,0,"Ranching and wildlife","2001"
"58",8.0194,2238.56753248383,0.307475,0,"Ranching and wildlife","2001"
"59",9.78126666666667,1845.25790545094,0.43295,7,"Wildlife only","2001"
"60",9.81833333333333,2234.23971806519,0.471475,0,"Wildlife only","2001"
"61",8.8986,1870.7596997517,0.387175,0,"Wildlife only","2001"
"63",6.05986666666667,5027.41818335911,0.256325,59,"Pastoralist","2001"
"64",5.62526666666667,770.07568096353,0.2499,100,"Pastoralist","2001"
"65",5.18813333333333,4141.53139490999,0.24035,179,"Pastoralist","2001"
"67",5.30426666666667,6150.88021276422,0.250375,29,"Ranching and wildlife","2001"
"68",6.14613333333333,5739.98158631179,0.23725,3,"Ranching and wildlife","2001"
"69",6.7712,8687.20367964585,0.266,16,"Ranching and wildlife","2001"
"70",7.48153333333333,5380.0090248381,0.2761,23,"Ranching and wildlife","2001"
"71",8.9118,1087.40033691033,0.28035,0,"Ranching and wildlife","2001"
"72",9.52333333333333,2062.54442088032,0.47445,7,"Wildlife only","2001"
"73",10.4110666666667,1728.4843285423,0.48045,0,"Wildlife only","2001"
"75",4.2196,1228.05646157119,0.263325,361,"Pastoralist","2001"
"76",4.7054,585.710457585595,0.239675,205,"Pastoralist","2001"
"77",7.14546666666667,571.421914313613,0.226525,107,"Pastoralist","2001"
"79",6.29146666666667,9499.14696681175,0.244875,124,"Ranching and wildlife","2001"
"80",6.3084,9352.8723484014,0.23415,0,"Ranching and wildlife","2001"
"81",7.92433333333333,6896.54508150012,0.253,0,"Ranching and wildlife","2001"
"82",6.08246666666667,4964.89902544473,0.257025,43,"Ranching and wildlife","2001"
"83",7.24153333333333,2295.16902827901,0.2439,0,"Ranching and wildlife","2001"
"84",6.3122,337.624943368077,0.2555,0,"Ranching and wildlife","2001"
"85",6.35113333333333,2845.78487103136,0.25095,27,"Pastoralist","2001"
"86",6.60673333333333,2664.09097217826,0.263625,22,"Pastoralist","2001"
"87",6.26033333333333,946.436815158599,0.27315,148,"Pastoralist","2001"
"88",7.86006666666667,2358.11869472777,0.316925,6,"Pastoralist","2001"
"89",7.70586666666667,7209.40952650871,0.411875,48,"Pastoralist","2001"
"90",5.7666,4089.4232044331,0.241575,61,"Pastoralist","2001"
"91",4.96193333333333,3109.42538553066,0.230775,292,"Pastoralist","2001"
"93",4.74613333333333,7582.2896107362,0.243325,590,"Ranching and wildlife","2001"
"94",6.70873333333333,5469.57775611978,0.2403,0,"Ranching and wildlife","2001"
"95",6.15966666666667,2749.81285758758,0.2538,9,"Ranching and wildlife","2001"
"96",8.2494,98.1214863564046,0.26225,0,"Ranching and wildlife","2001"
"97",7.39473333333333,2.47137960138878,0.23615,0,"Ranching and wildlife","2001"
"98",7.41053333333333,3306.89296061304,0.210975,0,"Ranching and wildlife","2001"
"100",4.9464,1931.96545517749,0.254375,267,"Pastoralist","2001"
"101",6.2958,1580.8258085899,0.26475,22,"Pastoralist","2001"
"102",5.50793333333333,6355.63936889956,0.292475,192,"Pastoralist","2001"
"103",6.9726,9317.18588809467,0.442275,127,"Pastoralist","2001"
"104",6.7918,11716.9263097605,0.52235,225,"Pastoralist","2001"
"105",7.26606666666667,6770.72912468385,0.638675,319,"Pastoralist","2001"
"106",9.38133333333333,2078.96471252584,0.59505,35,"Pastoralist","2001"
"107",9.51833333333333,2466.08545217606,0.599625,0,"Pastoralist","2001"
"108",7.8504,7249.34474259544,0.399025,0,"Pastoralist","2001"
"109",5.7726,11630.6343163359,0.2809,0,"Pastoralist","2001"
"110",5.39726666666667,3745.38678273765,0.262275,306,"Pastoralist","2001"
"111",4.93993333333333,2141.3530311559,0.2501,417,"Pastoralist","2001"
"113",6.6048,4802.93841411171,0.2509,0,"Ranching and wildlife","2001"
"116",7.15,2645.89249778591,0.2501,0,"Ranching and wildlife","2001"
"117",8.3326,2069.53833619613,0.2388,2,"Ranching and wildlife","2001"
"118",6.0792,5072.91395091011,0.2289,0,"Ranching and wildlife","2001"
"119",6.58686666666667,365.01693512462,0.21845,35,"Ranching and wildlife","2001"
"123",6.23,10994.54107816,0.36365,55,"Pastoralist","2001"
"124",5.89273333333333,12902.0737921816,0.3985,142,"Pastoralist","2001"
"125",8.1438,8565.13783217734,0.548875,39,"Pastoralist","2001"
"126",8.47213333333333,3783.8633828567,0.7413,0,"Pastoralist","2001"
"127",9.41306666666667,472.360725882912,0.66685,0,"Pastoralist","2001"
"128",8.74093333333333,5276.97271319493,0.4549,0,"Pastoralist","2001"
"129",7.20413333333333,10168.6784226372,0.334975,0,"Pastoralist","2001"
"130",7.05513333333333,2489.19798355444,0.250225,94,"Pastoralist","2001"
"131",2.83306666666667,136.316052657387,0.235875,661,"Pastoralist","2001"
"132",8.09233333333333,1142.53752099399,0.2451,91,"Pastoralist","2001"
"134",6.58573333333333,1969.61667030564,0.244425,69,"Pastoralist","2001"
"135",6.60146666666667,3265.51576729861,0.276575,32,"Ranching and wildlife","2001"
"136",6.25186666666667,2048.15834692868,0.25105,0,"Pastoralist","2001"
"138",8.14146666666667,518.938019875488,0.255075,0,"Ranching and wildlife","2001"
"139",6.20686666666667,2432.36997769759,0.245425,0,"Ranching and wildlife","2001"
"140",8.5504,1923.2180269893,0.2904,107,"Ranching and wildlife","2001"
"141",7.2278,3904.63539158338,0.258675,0,"Ranching and wildlife","2001"
"143",6.113,6434.37912687613,0.294,76,"Pastoralist","2001"
"144",4.3998,8823.51601646625,0.345775,434,"Pastoralist","2001"
"145",5.6954,10438.6825166826,0.40515,227,"Pastoralist","2001"
"146",7.72713333333333,5547.35345899049,0.7809,79,"Pastoralist","2001"
"147",8.50466666666667,655.903941731157,0.76,0,"Pastoralist","2001"
"148",7.78513333333333,4235.66288318767,0.730675,186,"Pastoralist","2001"
"149",8.32733333333333,9127.34386324379,0.52245,0,"Pastoralist","2001"
"150",5.982,2364.54198518111,0.25055,129,"Pastoralist","2001"
"151",3.428,470.645216657065,0.250775,485,"Pastoralist","2001"
"152",5.20866666666667,1384.48728770713,0.264475,171,"Pastoralist","2001"
"155",6.32886666666667,4551.94601605437,0.309075,218,"Ranching","2001"
"157",6.42426666666667,2281.91520606236,0.2594,0,"Ranching and wildlife","2001"
"158",4.7698,4694.42417242289,0.2452,141,"Ranching and wildlife","2001"
"159",6.891,1200.52455168949,0.247975,0,"Ranching and wildlife","2001"
"160",8.98106666666667,1558.61719385437,0.308525,0,"Ranching and wildlife","2001"
"161",9.33746666666667,1423.41132253881,0.277975,0,"Ranching and wildlife","2001"
"162",8.30333333333333,2065.99885329208,0.2905,0,"Ranching and wildlife","2001"
"163",8.0218,1760.6216609248,0.344975,0,"Wildlife only","2001"
"165",4.05806666666667,11195.8689456431,0.363025,415,"Pastoralist","2001"
"166",6.9536,6588.73089121639,0.473175,227,"Pastoralist","2001"
"167",8.767,1697.30605915473,0.751,0,"Pastoralist","2001"
"168",8.38386666666667,3194.23611292936,0.75125,5,"Pastoralist","2001"
"169",9.2328,7774.0654997181,0.6755,8,"Pastoralist","2001"
"173",4.68313333333333,528.939674337609,0.2625,328,"Pastoralist","2001"
"175",7.24753333333333,1016.27679553155,0.28645,22,"Ranching","2001"
"177",7.04706666666667,4832.86385947684,0.27415,10,"Ranching and wildlife","2001"
"179",6.94466666666667,865.652069114166,0.2676,0,"Ranching and wildlife","2001"
"180",10.5980666666667,1886.7031614315,0.31935,0,"Ranching and wildlife","2001"
"181",10.0686666666667,772.008303729173,0.315125,69,"Ranching and wildlife","2001"
"182",8.6896,2291.15017713885,0.320525,9,"Ranching and wildlife","2001"
"183",10.4529333333333,1753.96523624904,0.3718,0,"Wildlife only","2001"
"184",7.328,6611.22340364989,0.30925,0,"Ranching and wildlife","2001"
"185",4.52973333333333,11578.2958404998,0.3229,1028,"Ranching and wildlife","2001"
"191",7.34706666666667,1705.86061674336,0.348825,32,"Ranching","2001"
"195",4.00493333333333,3808.09158624962,0.2608,435,"Pastoralist","2001"
"196",8.95466666666667,132.062974568065,0.281725,0,"Ranching and wildlife","2001"
"197",6.6804,1623.8274883231,0.26535,71,"Ranching","2001"
"199",9.26626666666667,1698.86224458391,0.348475,66,"Ranching and wildlife","2001"
"202",7.12446666666667,5982.78679606713,0.30335,210,"Ranching and wildlife","2001"
"203",8.86213333333333,8695.56565518312,0.3237,0,"Ranching and wildlife","2001"
"204",6.83233333333333,8589.47851515843,0.2921,0,"Ranching and wildlife","2001"
"205",7.1608,8287.75422096037,0.35615,0,"Ranching and wildlife","2001"
"206",8.86906666666667,3476.75148130248,0.46545,80,"Ranching and wildlife","2001"
"207",9.88093333333333,1251.87667067084,0.57385,0,"Ranching and wildlife","2001"
"208",10.0926666666667,6232.34611233723,0.551925,7,"Ranching and wildlife","2001"
"209",7.3712,2120.89387263244,0.3737,134,"Ranching","2001"
"210",7.55566666666667,1737.09692663077,0.34865,0,"Ranching","2001"
"214",7.48453333333333,375.311258941321,0.304075,218,"Pastoralist","2001"
"216",9.80926666666667,2326.54718991317,0.279025,0,"Ranching and wildlife","2001"
"217",6.8342,247.680950244907,0.288675,129,"Ranching and wildlife","2001"
"218",8.65593333333333,2440.55737653963,0.320375,141,"Ranching and wildlife","2001"
"219",8.0694,1553.03658884077,0.3901,105,"Ranching","2001"
"220",1.71813333333333,1991.81164643677,0.311375,1267,"Pastoralist","2001"
"222",8.7148,4203.12953075113,0.4104,0,"Ranching and wildlife","2001"
"223",9.17293333333333,4003.81127785083,0.386725,110,"Ranching and wildlife","2001"
"229",8.11726666666667,3800.5550227986,0.3294,0,"Ranching and wildlife","2001"
"230",8.05173333333333,206.342752554708,0.30455,0,"Ranching and wildlife","2001"
"232",7.7272,4027.67064265034,0.3181,0,"Pastoralist","2001"
"233",7.88293333333333,6714.87541512124,0.3747,0,"Pastoralist","2001"
"238",6.1032,673.096492582818,0.353475,223,"Pastoralist","2001"
"240",7.4804,2908.27303829903,0.436875,236,"Ranching and wildlife","2001"
"241",9.60006666666667,2567.79184612245,0.391925,30,"Ranching and wildlife","2001"
"243",8.16713333333333,2397.91222371203,0.414525,197,"Ranching and wildlife","2001"
"244",7.83306666666667,3879.71761817952,0.312025,73,"Ranching and wildlife","2001"
"245",7.0772,277.016624037504,0.310275,123,"Ranching and wildlife","2001"
"246",7.66686666666667,1312.92064487033,0.413,244,"Ranching and wildlife","2001"
"247",7.67206666666667,5935.04004142587,0.390575,0,"Ranching and wildlife","2001"
"252",4.0164,4693.04691444407,0.343475,485,"Pastoralist","2001"
"256",7.53286666666667,8366.27391956732,0.401075,114,"Ranching and wildlife","2001"
"257",7.46546666666667,10461.8562452308,0.35825,0,"Ranching and wildlife","2001"
"258",6.6746,5788.19322271713,0.359575,150,"Ranching and wildlife","2001"
"259",10.2241333333333,794.523018397555,0.36955,0,"Ranching and wildlife","2001"
"262",8.99113333333333,2100.15900887389,0.38135,0,"Ranching","2001"
"267",7.057,5991.45311524601,0.369375,65,"Ranching and wildlife","2001"
"268",9.6194,1490.87315310863,0.397125,18,"Ranching and wildlife","2001"
"269",9.74953333333333,3199.45732853967,0.3737,24,"Ranching and wildlife","2001"
"275",8.80893333333333,2353.63054469376,0.34545,63,"Ranching and wildlife","2001"
"284",10.564,3412.54169134797,0.5221,16,"Wildlife only","2001"
"285",8.8384,844.183255162499,0.47715,87,"Wildlife only","2001"
"287",10.9416,2369.81123194899,0.45635,0,"Wildlife only","2001"
"289",5.31,1910.31420553157,0.37655,396,"Pastoralist","2004"
"290",8.70853333333333,5643.95024340595,0.446675,22,"Pastoralist","2004"
"291",9.01153333333333,6396.6941220903,0.4905,24,"Pastoralist","2004"
"292",8.64926666666667,2246.32444798916,0.45505,85,"Pastoralist","2004"
"293",8.4748,4065.81983550371,0.437825,27,"Ranching and wildlife","2004"
"296",5.4162,2961.86714043769,0.294825,360,"Pastoralist","2004"
"297",6.93953333333333,4932.11991089598,0.394875,115,"Pastoralist","2004"
"298",6.77353333333333,4643.02230795503,0.444125,287,"Pastoralist","2004"
"299",7.3832,8648.30609747132,0.4990375,166,"Pastoralist","2004"
"300",7.36393333333333,6757.81982227565,0.4903875,211,"Pastoralist","2004"
"301",8.26766666666667,3027.32275307541,0.4032625,36,"Pastoralist","2004"
"302",8.24506666666667,4629.54736345835,0.3976,0,"Ranching and wildlife","2004"
"303",6.7492,917.085947327378,0.363525,146,"Wildlife only","2004"
"305",6.62533333333333,6573.6170531956,0.3379,0,"Pastoralist","2004"
"306",7.43373333333333,9343.68887355516,0.4801,69,"Pastoralist","2004"
"307",8.95053333333333,4781.6455761532,0.50145,222,"Pastoralist","2004"
"308",8.09826666666667,2739.70323203253,0.4776,144,"Pastoralist","2004"
"311",7.1764,8861.73465144797,0.441475,102,"Pastoralist","2004"
"313",8.28286666666667,4031.85433795826,0.3771875,0,"Ranching and wildlife","2004"
"314",7.9682,66.9505735740588,0.3313875,65,"Wildlife only","2004"
"319",5.44793333333333,6429.66300281072,0.4975625,513,"Pastoralist","2004"
"320",6.02646666666667,3005.22758989121,0.58915,668,"Pastoralist","2004"
"321",9.67366666666667,4080.69336721052,0.49265,0,"Wildlife only","2004"
"322",10.6884666666667,2307.26362292303,0.52365,0,"Wildlife only","2004"
"323",9.71726666666667,3822.3239692406,0.493125,0,"Wildlife only","2004"
"324",4.4652,7777.75458748739,0.4059,713,"Pastoralist","2004"
"325",6.09746666666667,3566.13023960522,0.39265,275,"Pastoralist","2004"
"326",5.59253333333333,2374.63496518487,0.394425,395,"Pastoralist","2004"
"327",6.5528,1121.97108218852,0.3305,132,"Pastoralist","2004"
"328",6.64426666666667,5178.87405238096,0.333475,394,"Pastoralist","2004"
"330",11.1708666666667,879.509800487513,0.44625,0,"Ranching and wildlife","2004"
"331",8.8826,5280.77220610698,0.4856,0,"Ranching and wildlife","2004"
"332",9.60573333333333,2499.52813527406,0.515775,7,"Ranching and wildlife","2004"
"334",9.48853333333333,658.969441950384,0.46785,0,"Wildlife only","2004"
"335",10.0848,219.043845222025,0.52065,0,"Wildlife only","2004"
"336",10.4719333333333,1234.47931975078,0.495925,0,"Wildlife only","2004"
"338",5.66906666666667,6412.39345860097,0.406725,331,"Pastoralist","2004"
"339",5.66546666666667,1425.20378122346,0.36485,307,"Pastoralist","2004"
"340",4.891,2289.20909965291,0.348775,376,"Pastoralist","2004"
"341",4.25473333333333,3794.13272547388,0.3509,659,"Pastoralist","2004"
"343",8.82406666666667,1794.23571170747,0.4173,9,"Ranching and wildlife","2004"
"344",9.63486666666667,4947.24685601764,0.465125,0,"Ranching and wildlife","2004"
"345",9.185,5015.01167034914,0.467875,0,"Ranching and wildlife","2004"
"346",12.0038666666667,2238.56753248383,0.499975,0,"Ranching and wildlife","2004"
"347",9.73873333333333,1845.25790545094,0.532475,0,"Wildlife only","2004"
"348",9.96366666666667,2234.23971806519,0.54465,0,"Wildlife only","2004"
"349",10.4030666666667,1870.7596997517,0.50485,0,"Wildlife only","2004"
"351",5.15946666666667,5027.41818335911,0.3458,324,"Pastoralist","2004"
"352",3.55446666666667,770.07568096353,0.3528,802,"Pastoralist","2004"
"353",7.01586666666667,4141.53139490999,0.327375,0,"Pastoralist","2004"
"355",5.5334,6150.88021276422,0.399075,285,"Ranching and wildlife","2004"
"356",7.85953333333333,5739.98158631179,0.452775,88,"Ranching and wildlife","2004"
"357",6.95693333333333,8687.20367964585,0.45165,571,"Ranching and wildlife","2004"
"358",9.74446666666667,5380.0090248381,0.462325,0,"Ranching and wildlife","2004"
"359",9.17826666666667,1087.40033691033,0.404925,0,"Ranching and wildlife","2004"
"360",9.94026666666667,2062.54442088032,0.5714,0,"Wildlife only","2004"
"361",9.99746666666667,1728.4843285423,0.582275,0,"Wildlife only","2004"
"363",4.38246666666667,1228.05646157119,0.3628,574,"Pastoralist","2004"
"364",5.95733333333333,585.710457585595,0.348825,204,"Pastoralist","2004"
"365",5.9956,571.421914313613,0.287325,123,"Pastoralist","2004"
"367",7.85686666666667,9499.14696681175,0.3575,15,"Ranching and wildlife","2004"
"368",6.23893333333333,9352.8723484014,0.367675,7,"Ranching and wildlife","2004"
"369",6.4088,6896.54508150012,0.42035,459,"Ranching and wildlife","2004"
"370",8.93766666666667,4964.89902544473,0.40335,0,"Ranching and wildlife","2004"
"371",9.322,2295.16902827901,0.374975,0,"Ranching and wildlife","2004"
"372",7.58273333333333,337.624943368077,0.367925,118,"Ranching and wildlife","2004"
"373",6.96986666666667,2845.78487103136,0.33615,44,"Pastoralist","2004"
"374",6.06,2664.09097217826,0.318025,151,"Pastoralist","2004"
"375",4.13146666666667,946.436815158599,0.2895,366,"Pastoralist","2004"
"376",5.08873333333333,2358.11869472777,0.3517,399,"Pastoralist","2004"
"377",7.7648,7209.40952650871,0.51095,157,"Pastoralist","2004"
"378",5.45666666666667,4089.4232044331,0.3144,191,"Pastoralist","2004"
"379",2.98306666666667,3109.42538553066,0.286625,571,"Pastoralist","2004"
"381",7.69933333333333,7582.2896107362,0.388425,0,"Ranching and wildlife","2004"
"382",8.70526666666667,5469.57775611978,0.381475,0,"Ranching and wildlife","2004"
"383",8.27606666666667,2749.81285758758,0.370975,0,"Ranching and wildlife","2004"
"384",8.62846666666667,98.1214863564046,0.383125,0,"Ranching and wildlife","2004"
"385",8.1626,2.47137960138878,0.366825,103,"Ranching and wildlife","2004"
"386",5.5866,3306.89296061304,0.3561,408,"Ranching and wildlife","2004"
"388",7.1226,1931.96545517749,0.32995,9,"Pastoralist","2004"
"389",3.63906666666667,1580.8258085899,0.30615,647,"Pastoralist","2004"
"390",4.93033333333333,6355.63936889956,0.2986,198,"Pastoralist","2004"
"391",6.06586666666667,9317.18588809467,0.399575,195,"Pastoralist","2004"
"392",7.08086666666667,11716.9263097605,0.495325,109,"Pastoralist","2004"
"393",8.67486666666667,6770.72912468385,0.620825,35,"Pastoralist","2004"
"394",9.17506666666667,2078.96471252584,0.65725,31,"Pastoralist","2004"
"395",9.22,2466.08545217606,0.686475,0,"Pastoralist","2004"
"396",8.68826666666667,7249.34474259544,0.446175,0,"Pastoralist","2004"
"397",6.35653333333333,11630.6343163359,0.363075,0,"Pastoralist","2004"
"398",3.426,3745.38678273765,0.333875,792,"Pastoralist","2004"
"399",3.278,2141.3530311559,0.3218,784,"Pastoralist","2004"
"401",9.33593333333333,4802.93841411171,0.39785,0,"Ranching and wildlife","2004"
"404",7.29033333333333,2645.89249778591,0.3749,126,"Ranching and wildlife","2004"
"405",8.1686,2069.53833619613,0.380975,0,"Ranching and wildlife","2004"
"406",10.0873333333333,5072.91395091011,0.34665,0,"Ranching and wildlife","2004"
"407",5.242,365.01693512462,0.30325,195,"Ranching and wildlife","2004"
"411",6.09833333333333,10994.54107816,0.337625,6,"Pastoralist","2004"
"412",5.18826666666667,12902.0737921816,0.357525,192,"Pastoralist","2004"
"413",6.60733333333333,8565.13783217734,0.51465,311,"Pastoralist","2004"
"414",8.3596,3783.8633828567,0.766375,0,"Pastoralist","2004"
"415",9.27433333333333,472.360725882912,0.694275,0,"Pastoralist","2004"
"416",10.0467333333333,5276.97271319493,0.5314,0,"Pastoralist","2004"
"417",7.64353333333333,10168.6784226372,0.396825,0,"Pastoralist","2004"
"418",4.92586666666667,2489.19798355444,0.3894,488,"Pastoralist","2004"
"419",4.37453333333333,136.316052657387,0.352,890,"Pastoralist","2004"
"420",5.45233333333333,1142.53752099399,0.34145,271,"Pastoralist","2004"
